SKU Code,Design No.,Stock,Category,Size,Color
#REF!,BL061,0.0,BLOUSE,FREE,BLACK
BL073-85BLACK,BL073,48.0,BLOUSE,FREE,BLACK
BL074-85RED,BL074,17.0,BLOUSE,FREE,RED
BL075-85CHIKU,BL075,7.0,BLOUSE,FREE,CHIKU
BL076-86BLACK,BL076,21.0,BLOUSE,FREE,BLACK
BL077-86RED,BL077,8.0,BLOUSE,FREE,RED
BL078-87BLACK,BL078,18.0,BLOUSE,FREE,BLACK
BL079-87RED,BL079,12.0,BLOUSE,FREE,RED
BL080-88BLACK,BL080,12.0,BLOUSE,FREE,BLACK
BL081-88PINK,BL081,30.0,BLOUSE,FREE,PINK
BL082-88CHIKU,BL082,9.0,BLOUSE,FREE,BEIGE
BL083-186GOLD,BL083,16.0,BLOUSE,FREE,GOLD
BL084-187GOLD,BL084,11.0,BLOUSE,FREE,GOLD
BL085-L,BL085,24.0,BLOUSE,L,ORANGE
BL085-M,BL085,15.0,BLOUSE,M,ORANGE
BL085-S,BL085,12.0,BLOUSE,S,ORANGE
BL085-XL,BL085,13.0,BLOUSE,XL,ORANGE
BL085-XS,BL085,6.0,BLOUSE,XS,ORANGE
BL085-XXL,BL085,11.0,BLOUSE,XXL,ORANGE
,BL086,1.0,BLOUSE,FREE,BLUE
BL086-L,BL086,4.0,BLOUSE,L,BLUE
BL086-M,BL086,5.0,BLOUSE,M,BLUE
BL086-S,BL086,2.0,BLOUSE,S,BLUE
BL086-XL,BL086,5.0,BLOUSE,XL,BLUE
BL086-XS,BL086,8.0,BLOUSE,XS,BLUE
BL086-XXL,BL086,3.0,BLOUSE,XXL,BLUE
,BL087,0.0,BLOUSE,FREE,MULTICOLOR
BL087-L,BL087,48.0,BLOUSE,L,MULTICOLOR
BL087-M,BL087,89.0,BLOUSE,M,MULTICOLOR
BL087-S,BL087,11.0,BLOUSE,S,MULTICOLOR
BL087-XL,BL087,5.0,BLOUSE,XL,MULTICOLOR
BL087-XS,BL087,18.0,BLOUSE,XS,MULTICOLOR
BL087-XXL,BL087,86.0,BLOUSE,XXL,MULTICOLOR
BL089-L,BL089,4.0,BLOUSE,L,MULTICOLOR
BL089-M,BL089,4.0,BLOUSE,M,MULTICOLOR
BL089-S,BL089,3.0,BLOUSE,S,MULTICOLOR
BL089-XL,BL089,8.0,BLOUSE,XL,MULTICOLOR
BL089-XS,BL089,4.0,BLOUSE,XS,MULTICOLOR
BL089-XXL,BL089,7.0,BLOUSE,XXL,MULTICOLOR
BL090-L,BL090,30.0,BLOUSE,L,PEACH
BL090-M,BL090,44.0,BLOUSE,M,PEACH
BL090-S,BL090,11.0,BLOUSE,S,PEACH
BL090-XL,BL090,16.0,BLOUSE,XL,PEACH
BL090-XS,BL090,29.0,BLOUSE,XS,PEACH
BL090-XXL,BL090,19.0,BLOUSE,XXL,PEACH
BL091-L,BL091,4.0,BLOUSE,L,MULTICOLOR
BL091-M,BL091,4.0,BLOUSE,M,MULTICOLOR
BL091-S,BL091,7.0,BLOUSE,S,MULTICOLOR
BL091-XL,BL091,3.0,BLOUSE,XL,MULTICOLOR
BL091-XS,BL091,7.0,BLOUSE,XS,MULTICOLOR
BL091-XXL,BL091,3.0,BLOUSE,XXL,MULTICOLOR
BL092-L,BL092,20.0,BLOUSE,L,BLUE
BL092-M,BL092,22.0,BLOUSE,M,BLUE
BL092-S,BL092,13.0,BLOUSE,S,BLUE
BL092-XL,BL092,27.0,BLOUSE,XL,BLUE
BL092-XS,BL092,17.0,BLOUSE,XS,BLUE
BL092-XXL,BL092,25.0,BLOUSE,XXL,BLUE
BL093-L,BL093,2.0,BLOUSE,L,GREY
BL093-M,BL093,2.0,BLOUSE,M,GREY
BL093-S,BL093,11.0,BLOUSE,S,GREY
BL093-XL,BL093,4.0,BLOUSE,XL,GREY
BL093-XS,BL093,4.0,BLOUSE,XS,GREY
BL093-XXL,BL093,3.0,BLOUSE,XXL,GREY
BL095-L,BL095,51.0,BLOUSE,L,MULTICOLOR
BL095-M,BL095,34.0,BLOUSE,M,MULTICOLOR
BL095-S,BL095,51.0,BLOUSE,S,MULTICOLOR
BL095-XL,BL095,26.0,BLOUSE,XL,MULTICOLOR
BL095-XS,BL095,59.0,BLOUSE,XS,MULTICOLOR
BL095-XXL,BL095,32.0,BLOUSE,XXL,MULTICOLOR
BL096-L,BL096,2.0,BLOUSE,L,BEIGE
BL096-M,BL096,2.0,BLOUSE,M,BEIGE
BL096-S,BL096,8.0,BLOUSE,S,BEIGE
BL096-XL,BL096,2.0,BLOUSE,XL,BEIGE
BL096-XS,BL096,8.0,BLOUSE,XS,BEIGE
BL096-XXL,BL096,2.0,BLOUSE,XXL,BEIGE
BL097-L,BL097,42.0,BLOUSE,L,MAROON
BL097-M,BL097,25.0,BLOUSE,M,MAROON
BL097-S,BL097,39.0,BLOUSE,S,MAROON
BL097-XL,BL097,11.0,BLOUSE,XL,MAROON
BL097-XS,BL097,9.0,BLOUSE,XS,MAROON
BL097-XXL,BL097,35.0,BLOUSE,XXL,MAROON
,BL097,1.0,BLOUSE,XXXL,MAROON
,BL098,2.0,BLOUSE,FREE,BROWN
BL098-L,BL098,25.0,BLOUSE,L,BROWN
BL098-M,BL098,31.0,BLOUSE,M,BROWN
BL098-S,BL098,39.0,BLOUSE,S,BROWN
BL098-XL,BL098,34.0,BLOUSE,XL,BROWN
BL098-XS,BL098,31.0,BLOUSE,XS,BROWN
BL098-XXL,BL098,27.0,BLOUSE,XXL,BROWN
BL099-L,BL099,5.0,BLOUSE,L,BLACK
BL099-M,BL099,6.0,BLOUSE,M,BLACK
BL099-S,BL099,9.0,BLOUSE,S,BLACK
BL099-XL,BL099,6.0,BLOUSE,XL,BLACK
BL099-XS,BL099,12.0,BLOUSE,XS,BLACK
BL099-XXL,BL099,4.0,BLOUSE,XXL,BLACK
BL100-L,BL100,4.0,BLOUSE,L,GREEN
BL100-M,BL100,5.0,BLOUSE,M,GREEN
BL100-S,BL100,6.0,BLOUSE,S,GREEN
BL100-XL,BL100,8.0,BLOUSE,XL,GREEN
BL100-XS,BL100,9.0,BLOUSE,XS,GREEN
BL100-XXL,BL100,5.0,BLOUSE,XXL,GREEN
BL101-L,BL101,2.0,BLOUSE,L,GREY
BL101-M,BL101,3.0,BLOUSE,M,GREY
BL101-S,BL101,8.0,BLOUSE,S,GREY
BL101-XL,BL101,4.0,BLOUSE,XL,GREY
BL101-XS,BL101,6.0,BLOUSE,XS,GREY
BL101-XXL,BL101,2.0,BLOUSE,XXL,GREY
,BL102,1.0,BLOUSE,FREE,NAVY BLUE
BL102-L,BL102,7.0,BLOUSE,L,NAVY BLUE
BL102-M,BL102,5.0,BLOUSE,M,NAVY BLUE
BL102-S,BL102,16.0,BLOUSE,S,NAVY BLUE
BL102-XL,BL102,19.0,BLOUSE,XL,NAVY BLUE
BL102-XS,BL102,16.0,BLOUSE,XS,NAVY BLUE
BL102-XXL,BL102,6.0,BLOUSE,XXL,NAVY BLUE
BL103-L,BL103,7.0,BLOUSE,L,MAROON
BL103-M,BL103,3.0,BLOUSE,M,MAROON
BL103-S,BL103,29.0,BLOUSE,S,MAROON
BL103-XL,BL103,8.0,BLOUSE,XL,MAROON
BL103-XS,BL103,27.0,BLOUSE,XS,MAROON
BL103-XXL,BL103,4.0,BLOUSE,XXL,MAROON
BL104-L,BL104,32.0,BLOUSE,L,BLACK
BL104-M,BL104,49.0,BLOUSE,M,BLACK
BL104-S,BL104,14.0,BLOUSE,S,BLACK
BL104-XL,BL104,20.0,BLOUSE,XL,BLACK
BL104-XS,BL104,29.0,BLOUSE,XS,BLACK
BL104-XXL,BL104,26.0,BLOUSE,XXL,BLACK
BL107-L,BL107,2.0,BLOUSE,L,WHITE
BL107-M,BL107,2.0,BLOUSE,M,WHITE
BL107-S,BL107,15.0,BLOUSE,S,WHITE
BL107-XL,BL107,3.0,BLOUSE,XL,WHITE
BL107-XS,BL107,6.0,BLOUSE,XS,WHITE
BL107-XXL,BL107,4.0,BLOUSE,XXL,WHITE
,BL109,2.0,BLOUSE,FREE,GOLD
BL109-L,BL109,23.0,BLOUSE,L,GOLD
BL109-M,BL109,37.0,BLOUSE,M,GOLD
BL109-S,BL109,34.0,BLOUSE,S,GOLD
BL109-XL,BL109,17.0,BLOUSE,XL,GOLD
BL109-XS,BL109,15.0,BLOUSE,XS,GOLD
BL109-XXL,BL109,9.0,BLOUSE,XXL,GOLD
BL110-L,BL110,8.0,BLOUSE,L,RED
BL110-M,BL110,7.0,BLOUSE,M,RED
BL110-S,BL110,18.0,BLOUSE,S,RED
BL110-XL,BL110,8.0,BLOUSE,XL,RED
BL110-XS,BL110,16.0,BLOUSE,XS,RED
BL110-XXL,BL110,5.0,BLOUSE,XXL,RED
BL111-L,BL111,9.0,BLOUSE,L,BLACK
